日期,摘要,借方,贷方
2026-06-01,利息收入,0,36000
2026-06-01,客户回款,0,5800
2026-06-02,工资发放,8800,0
2026-06-02,工资发放,1500,0
2026-06-03,客户回款,0,20000
2026-06-04,退款入账,0,36000
2026-06-04,利息收入,0,20000
2026-06-05,物业费,2800,0
2026-06-08,服务费收入,0,5800
2026-06-09,客户回款,0,12500
2026-06-10,水电费,8800,0
2026-06-11,工资发放,8800,0
2026-06-12,利息收入,0,9600
2026-06-15,客户回款,0,3200
2026-06-15,工资发放,4500,0
2026-06-15,供应商付款B,8000,0
2026-06-16,水电费,6200,0
2026-06-17,办公采购,4500,0
2026-06-18,利息收入,0,36000
2026-06-19,工资发放,11000,0
2026-06-19,软件订阅,2800,0
2026-06-22,退款入账,0,12500
2026-06-22,服务费收入,0,36000
2026-06-23,服务费收入,0,3200
2026-06-23,差旅报销,4500,0
2026-06-24,利息收入,0,20000
2026-06-25,物业费,6200,0
2026-06-26,服务费收入,0,5800
2026-06-28,客户回款A,0,50000
2026-06-29,物业费,4500,0
2026-06-29,差旅报销,8800,0
2026-06-29,手续费,1200,0
2026-06-30,退款入账,0,5800
